Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
19	10/15/2025 10:29:58 AM		3.29699993133545	61.1642608642578	1507.09704589844	21	22	30	104.300003051758	1	220.450477302074	21	23	4	86	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
20	10/15/2025 10:30:08 AM		3.24600005149841	60.2241821289062	1514.48400878906	21	22	32	101.319999694824	9	217.040410637856	22	14	9	69	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
21	10/15/2025 10:30:18 AM		3.22000002861023	59.7344017028809	1515.72094726562	21	22	33	99.8300018310547	11	215.301950275898	20	12	9	61	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
22	10/15/2025 10:30:28 AM		3.24900007247925	60.2685890197754	1514.57397460938	21	22	32	101.319999694824	6	217.241013050079	14	11	11	68	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
23	10/15/2025 10:30:38 AM		3.2739999294281	60.7362785339355	1511.53405761719	21	22	32	101.319999694824	19	218.912605941296	20	11	11	114	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
24	10/15/2025 10:30:48 AM		NaN	NaN	1509.61804199219	21	22	32	101.319999694824	0	NaN	15	10	10	102	3	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
25	10/15/2025 10:30:58 AM		3.39100003242493	62.8993835449219	1502.93798828125	21	22	32	101.319999694824	18	226.735684275627	17	10	11	74	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
26	10/15/2025 10:31:08 AM		3.41000008583069	63.2665939331055	1500.5419921875	21	22	34	98.3399963378906	17	228.006112575531	18	10	11	57	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
27	10/15/2025 10:31:18 AM		3.41499996185303	63.3511848449707	1499.16296386719	21	22	34	98.3399963378906	15	228.340423107147	18	11	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
28	10/15/2025 10:31:28 AM		3.44199991226196	63.8464126586914	1498.78198242188	21	22	34	98.3399963378906	13	230.145764350891	19	11	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
29	10/15/2025 10:31:38 AM		3.46700000762939	64.3238830566406	1499.05700683594	21	22	34	98.3399963378906	20	231.817343831062	18	11	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
30	10/15/2025 10:31:48 AM		3.40899991989136	63.2452354431152	1499.80004882812	21	22	34	98.3399963378906	33	227.93924510479	17	11	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
31	10/15/2025 10:31:58 AM		3.44300007820129	63.873405456543	1502.66296386719	21	22	34	98.3399963378906	7	230.212604999542	22	11	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
32	10/15/2025 10:32:08 AM		3.43899989128113	63.7940330505371	1499.91296386719	21	22	34	98.3399963378906	6	229.945161938667	19	11	9	44	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
33	10/15/2025 10:32:18 AM		3.43600010871887	63.7367324829102	1498.77294921875	21	22	34	98.3399963378906	21	229.744559526443	18	11	9	36	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
34	10/15/2025 10:32:28 AM		3.4300000667572	63.6226348876953	1499.32202148438	21	22	34	98.3399963378906	20	229.343381524086	18	11	9	40	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0592942374961
