Index	Date	Trigger	A Flow velocity [m/s]	A Volumetric flow rate [m³/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
19	11/27/2025 1:15:23 PM		3.31613230705261	235.252690315247	1523.25598144531	15	15	52	71.5199966430664	97	37	2	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
20	11/27/2025 1:15:24 PM		3.31613230705261	235.252690315247	1523.25598144531	15	15	52	71.5199966430664	97	37	2	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
21	11/27/2025 1:15:25 PM		3.29889154434204	234.029603004456	1528.61206054688	15	15	47	78.9700012207031	81	33	9	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
22	11/27/2025 1:15:26 PM		3.29428744316101	233.702963590622	1528.61206054688	15	15	47	78.9700012207031	81	33	9	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
23	11/27/2025 1:15:27 PM		3.28246068954468	232.863941788673	1529.23901367188	15	15	52	71.5199966430664	99	40	16	2	198	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
24	11/27/2025 1:15:28 PM		3.28613114356995	233.124330639839	1529.23901367188	15	15	52	71.5199966430664	99	40	16	2	198	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
25	11/27/2025 1:15:29 PM		3.28173565864563	232.812523841858	1525.09802246094	15	15	54	68.5400009155273	95	37	20	2	160	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
26	11/27/2025 1:15:30 PM		3.27349662780762	232.228016853333	1525.09802246094	15	15	54	68.5400009155273	95	37	20	2	160	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
27	11/27/2025 1:15:31 PM		3.27106332778931	232.055416703224	1523.56005859375	15	15	54	68.5400009155273	99	40	23	2	134	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
28	11/27/2025 1:15:32 PM		3.27106475830078	232.055523991585	1522.24694824219	15	15	54	68.5400009155273	100	39	26	2	110	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
29	11/27/2025 1:15:33 PM		3.26307845115662	231.488934159279	1521.39404296875	15	15	56	65.5599975585938	98	40	28	2	97	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
