Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	12/1/2025 2:18:29 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
2	12/1/2025 2:18:30 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
3	12/1/2025 2:18:31 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
4	12/1/2025 2:18:32 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
5	12/1/2025 2:18:33 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
6	12/1/2025 2:18:34 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
7	12/1/2025 2:18:35 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
8	12/1/2025 2:18:36 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
9	12/1/2025 2:18:37 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
10	12/1/2025 2:18:38 PM		NaN	NaN	∞	21	21	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
11	12/1/2025 2:18:39 PM		2.59599995613098	138388.883972168	1481.69104003906	21	21	42	86.4199981689453	80	138.570414483547	46	1	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
12	12/1/2025 2:18:40 PM		2.59599995613098	138388.883972168	1481.69104003906	21	21	42	86.4199981689453	80	138.570414483547	46	1	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
13	12/1/2025 2:18:41 PM		2.57599997520447	137341.062927246	1482.52099609375	21	21	37	93.870002746582	58	137.502855062485	40	5	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3005015968714
