Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
11	12/2/2025 10:21:14 AM		2.64499998092651	140991.394042969	1532.63696289062	17	18	49	75.9899978637695	84	141.18597060442	29	2	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
12	12/2/2025 10:21:15 AM		2.69000005722046	143425.373840332	1529.26098632812	17	18	52	71.5199966430664	78	143.587996065617	44	10	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
13	12/2/2025 10:21:16 AM		2.70199990272522	144073.031616211	1529.26098632812	17	18	52	71.5199966430664	78	144.228534400463	44	10	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
14	12/2/2025 10:21:17 AM		2.69199991226196	143547.994995117	1519.666015625	17	18	70	44.7000007629395	98	143.694747984409	50	18	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
15	12/2/2025 10:21:18 AM		2.69300007820129	143561.247253418	1519.666015625	17	18	70	44.7000007629395	98	143.748123943806	50	18	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
16	12/2/2025 10:21:19 AM		2.68499994277954	143152.77557373	1515.78601074219	17	18	70	44.7000007629395	99	143.32110285759	50	21	2	225	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
17	12/2/2025 10:21:20 AM		2.65499997138977	141562.353515625	1513.19104003906	17	18	70	44.7000007629395	98	141.719743609428	50	25	2	208	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
18	12/2/2025 10:21:21 AM		2.66799998283386	142264.750671387	1511.48803710938	17	18	70	44.7000007629395	99	142.413671314716	49	27	2	183	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
19	12/2/2025 10:21:22 AM		2.65700006484985	141658.868408203	1510.25903320312	17	18	70	44.7000007629395	99	141.826508939266	50	29	2	158	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
20	12/2/2025 10:21:23 AM		2.68600010871887	143220.286560059	1509.33801269531	17	18	70	44.7000007629395	97	143.374478816986	50	31	2	151	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
21	12/2/2025 10:21:24 AM		2.68499994277954	143142.846679688	1505.63696289062	17	18	70	44.7000007629395	97	143.32110285759	49	33	2	137	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
22	12/2/2025 10:21:25 AM		2.68499994277954	143147.570800781	1505.36694335938	17	18	70	44.7000007629395	99	143.32110285759	50	35	2	113	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
23	12/2/2025 10:21:26 AM		2.77099990844727	147711.991882324	1505.09899902344	17	18	70	44.7000007629395	99	147.911649942398	50	37	2	99	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
24	12/2/2025 10:21:27 AM		2.74699997901917	146464.288330078	1504.82495117188	17	18	70	44.7000007629395	99	146.63055986166	50	39	2	95	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
25	12/2/2025 10:21:28 AM		2.72199988365173	145104.592895508	1504.55297851562	17	18	70	44.7000007629395	99	145.296107232571	49	40	2	84	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
26	12/2/2025 10:21:29 AM		2.68400001525879	143113.746643066	1504.55297851562	17	18	70	44.7000007629395	99	143.267726898193	49	40	2	84	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
27	12/2/2025 10:21:30 AM		2.6710000038147	142404.949951172	1504.28894042969	17	18	69	46.189998626709	99	142.573799192905	50	42	2	66	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
28	12/2/2025 10:21:31 AM		2.65400004386902	141516.773986816	1504.3740234375	17	18	68	47.6800003051758	98	141.666367650032	47	43	2	62	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
29	12/2/2025 10:21:32 AM		2.69899988174438	143870.78704834	1504.81201171875	17	18	66	50.6599998474121	99	144.068393111229	50	43	2	56	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
30	12/2/2025 10:21:33 AM		2.7039999961853	144144.346618652	1506.09399414062	17	18	66	50.6599998474121	94	144.335286319256	44	44	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
31	12/2/2025 10:21:34 AM		2.68799996376038	143293.771362305	1508.39599609375	17	18	56	65.5599975585938	93	143.481230735779	41	44	2	46	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
32	12/2/2025 10:21:35 AM		NaN	NaN	1510.46801757812	17	18	59	61.0900001525879	92	NaN	49	45	3	40	3	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
33	12/2/2025 10:21:36 AM		NaN	NaN	1510.46801757812	17	18	59	61.0900001525879	92	NaN	49	45	3	40	3	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
34	12/2/2025 10:21:37 AM		NaN	NaN	∞	17	18	18	122.180000305176	92	NaN	49	37	2	99	2	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
35	12/2/2025 10:21:38 AM		NaN	NaN	∞	17	18	16	125.160003662109	92	NaN	49	33	2	144	2	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
36	12/2/2025 10:21:39 AM		NaN	NaN	∞	17	18	16	125.160003662109	92	NaN	49	28	2	196	2	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
37	12/2/2025 10:21:40 AM		NaN	NaN	∞	17	17	16	125.160003662109	92	NaN	49	28	2	196	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
38	12/2/2025 10:21:41 AM		NaN	NaN	∞	17	17	16	125.160003662109	92	NaN	49	28	2	196	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
39	12/2/2025 10:21:42 AM		NaN	NaN	∞	17	17	17	123.669998168945	92	NaN	49	23	2	244	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
40	12/2/2025 10:21:43 AM		NaN	NaN	∞	17	17	17	123.669998168945	92	NaN	49	23	2	244	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
41	12/2/2025 10:21:44 AM		NaN	NaN	∞	17	17	16	125.160003662109	92	NaN	49	18	2	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
42	12/2/2025 10:21:45 AM		NaN	NaN	∞	17	17	16	125.160003662109	92	NaN	49	18	2	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
43	12/2/2025 10:21:46 AM		NaN	NaN	∞	17	17	15	126.650001525879	92	NaN	49	14	2	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
44	12/2/2025 10:21:47 AM		NaN	NaN	∞	17	17	15	126.650001525879	92	NaN	49	14	2	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
45	12/2/2025 10:21:48 AM		NaN	NaN	∞	17	17	15	126.650001525879	92	NaN	49	10	1	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
46	12/2/2025 10:21:49 AM		NaN	NaN	∞	17	17	15	126.650001525879	92	NaN	49	10	1	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
47	12/2/2025 10:21:50 AM		NaN	NaN	∞	17	17	15	126.650001525879	92	NaN	49	8	1	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
48	12/2/2025 10:21:51 AM		NaN	NaN	∞	17	17	15	126.650001525879	92	NaN	49	8	1	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
49	12/2/2025 10:21:52 AM		NaN	NaN	∞	17	17	58	62.5800018310547	0	NaN	49	9	2	254	2	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
50	12/2/2025 10:21:53 AM		2.69400000572205	143617.153930664	1508.18896484375	17	17	62	56.6199989318848	94	143.801513314247	49	12	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
51	12/2/2025 10:21:54 AM		2.68400001525879	143082.421875	1508.18896484375	17	17	62	56.6199989318848	94	143.267726898193	49	12	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
52	12/2/2025 10:21:55 AM		2.68099999427795	142935.699462891	1508.18896484375	17	17	62	56.6199989318848	94	143.107585608959	49	12	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
53	12/2/2025 10:21:56 AM		2.66300010681152	141984.489440918	1505.39697265625	17	17	68	47.6800003051758	97	142.146778106689	50	18	4	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
54	12/2/2025 10:21:57 AM		NaN	NaN	1503.18005371094	17	17	68	47.6800003051758	94	NaN	50	21	4	232	3	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
55	12/2/2025 10:21:58 AM		2.65000009536743	141265.75012207	1502.23901367188	17	17	68	47.6800003051758	97	141.452850401402	48	24	4	211	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
56	12/2/2025 10:21:59 AM		2.65300011634827	141459.562683105	1502.23901367188	17	17	68	47.6800003051758	97	141.612991690636	48	24	4	211	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
57	12/2/2025 10:22:00 AM		2.6470000743866	141114.097595215	1500.56298828125	17	17	67	49.1699981689453	98	141.292722523212	49	28	3	159	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
58	12/2/2025 10:22:01 AM		2.64000010490417	140756.918334961	1500.56298828125	17	18	67	49.1699981689453	98	140.919077396393	49	28	3	159	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
59	12/2/2025 10:22:02 AM		2.63000011444092	140196.794128418	1500.48498535156	17	18	68	47.6800003051758	96	140.385290980339	48	31	3	164	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
60	12/2/2025 10:22:03 AM		2.60999989509583	139166.702270508	1500.47094726562	17	18	67	49.1699981689453	96	139.317718148232	49	33	4	138	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
61	12/2/2025 10:22:04 AM		2.59899997711182	138571.545410156	1500.27197265625	17	18	66	50.6599998474121	94	138.730555772781	48	34	3	122	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
62	12/2/2025 10:22:05 AM		2.62599992752075	140021.452331543	1500.09997558594	17	18	66	50.6599998474121	96	140.171773731709	49	36	4	108	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
63	12/2/2025 10:22:06 AM		2.60899996757507	139112.855529785	1500.17895507812	17	18	64	53.6399993896484	95	139.264342188835	47	37	3	96	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
64	12/2/2025 10:22:07 AM		2.59400010108948	138308.21685791	1500.10803222656	17	18	64	53.6399993896484	97	138.463662564754	47	37	4	95	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
65	12/2/2025 10:22:08 AM		2.59400010108948	138319.161987305	1499.50305175781	17	18	52	71.5199966430664	83	138.463662564754	45	38	4	75	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
66	12/2/2025 10:22:09 AM		2.59500002861023	138342.178344727	1499.50305175781	17	18	52	71.5199966430664	83	138.517038524151	45	38	4	75	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9967267828195
