Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	12/2/2025 10:24:28 AM		NaN	NaN	∞	17	17	16	125.160003662109	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
2	12/2/2025 10:24:29 AM		NaN	NaN	∞	17	17	16	125.160003662109	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
3	12/2/2025 10:24:30 AM		NaN	NaN	∞	17	17	16	125.160003662109	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
4	12/2/2025 10:24:31 AM		NaN	NaN	∞	17	17	14	128.139999389648	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
5	12/2/2025 10:24:32 AM		NaN	NaN	∞	17	17	14	128.139999389648	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
6	12/2/2025 10:24:33 AM		NaN	NaN	∞	17	17	14	128.139999389648	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
7	12/2/2025 10:24:34 AM		NaN	NaN	∞	17	17	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
8	12/2/2025 10:24:35 AM		NaN	NaN	∞	17	17	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
9	12/2/2025 10:24:36 AM		NaN	NaN	∞	17	17	16	125.160003662109	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
10	12/2/2025 10:24:37 AM		NaN	NaN	∞	17	17	16	125.160003662109	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
