Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
25	12/2/2025 10:33:25 AM		0.879999995231628	46922.518157959	1514.06103515625	17	17	39	90.8899993896484	81	46.9730235636234	39	4	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
26	12/2/2025 10:33:26 AM		0.847000002861023	45139.3615722656	1514.06103515625	17	17	39	90.8899993896484	81	45.211536437273	39	4	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
27	12/2/2025 10:33:27 AM		0.810999989509583	43231.7470550537	1514.06103515625	17	17	39	90.8899993896484	81	43.2899113744497	39	4	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
28	12/2/2025 10:33:28 AM		0.810999989509583	43231.7470550537	1514.06103515625	17	17	39	90.8899993896484	81	43.2899113744497	39	4	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
29	12/2/2025 10:33:29 AM		NaN	NaN	1511.82495117188	17	17	58	62.5800018310547	95	NaN	49	20	3	254	3	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
30	12/2/2025 10:33:30 AM		0.822000026702881	43844.8184967041	1511.24694824219	17	17	63	55.1300010681152	96	43.8770737498999	49	25	3	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
31	12/2/2025 10:33:31 AM		0.808000028133392	43056.1134338379	1510.09802246094	17	17	58	62.5800018310547	99	43.1297767907381	49	28	3	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
32	12/2/2025 10:33:32 AM		0.879999995231628	46918.2540893555	1509.59301757812	17	17	61	58.1100006103516	100	46.9730235636234	49	30	3	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
33	12/2/2025 10:33:33 AM		0.851000010967255	45365.580368042	1509.59301757812	17	17	61	58.1100006103516	100	45.4250503331423	49	30	3	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
34	12/2/2025 10:33:34 AM		0.898999989032745	47925.1064300537	1509.47595214844	17	17	66	50.6599998474121	101	47.9872137308121	49	32	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
