Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
25	12/2/2025 10:50:24 AM		1.79200005531311	136787.420654297	1518.02099609375	17	17	47	78.9700012207031	88	136.941160261631	50	2	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
26	12/2/2025 10:50:25 AM		1.7960000038147	137113.618469238	1517.89196777344	17	17	56	65.5599975585938	96	137.246838212013	50	11	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
27	12/2/2025 10:50:26 AM		1.81700003147125	138693.067932129	1517.89196777344	17	17	56	65.5599975585938	96	138.851617276669	50	11	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
28	12/2/2025 10:50:27 AM		1.81700003147125	138679.856872559	1517.89196777344	17	17	56	65.5599975585938	96	138.851617276669	50	11	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
29	12/2/2025 10:50:28 AM		1.83299994468689	139914.775085449	1517.78894042969	17	17	56	65.5599975585938	97	140.074302256107	50	20	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
30	12/2/2025 10:50:29 AM		1.8289999961853	139625.779724121	1517.73901367188	17	17	56	65.5599975585938	96	139.76863771677	49	24	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
31	12/2/2025 10:50:30 AM		1.79499995708466	137029.270935059	1517.71997070312	17	17	56	65.5599975585938	96	137.170422077179	46	27	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
32	12/2/2025 10:50:31 AM		1.79299998283386	136816.767883301	1517.71997070312	17	17	56	65.5599975585938	96	137.017576396465	46	27	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
33	12/2/2025 10:50:32 AM		1.79700005054474	137147.731018066	1517.63598632812	17	17	56	65.5599975585938	97	137.323254346848	49	29	1	249	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
34	12/2/2025 10:50:33 AM		1.81299996376038	138404.058837891	1517.63696289062	17	17	56	65.5599975585938	97	138.545939326286	47	31	1	218	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
35	12/2/2025 10:50:34 AM		1.82299995422363	139126.176452637	1517.63195800781	17	17	56	65.5599975585938	96	139.310127496719	49	33	1	186	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
36	12/2/2025 10:50:35 AM		1.82500004768372	139260.154724121	1517.626953125	17	17	56	65.5599975585938	97	139.462959766388	48	35	1	166	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
37	12/2/2025 10:50:36 AM		1.85300004482269	141414.436340332	1517.6259765625	17	17	56	65.5599975585938	96	141.602665185928	49	36	1	152	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
38	12/2/2025 10:50:37 AM		1.81200003623962	138273.156738281	1517.61596679688	17	17	56	65.5599975585938	97	138.469523191452	49	38	1	137	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
39	12/2/2025 10:50:38 AM		1.82299995422363	139140.760803223	1517.61596679688	17	17	56	65.5599975585938	97	139.310127496719	49	38	1	137	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
40	12/2/2025 10:50:39 AM		1.83299994468689	139875.663757324	1517.60803222656	17	17	56	65.5599975585938	97	140.074302256107	49	39	1	117	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
41	12/2/2025 10:50:40 AM		1.82700002193451	139443.70880127	1517.60595703125	17	17	56	65.5599975585938	96	139.615792036057	49	41	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
42	12/2/2025 10:50:41 AM		1.82400000095367	139192.437744141	1517.60998535156	17	17	56	65.5599975585938	97	139.386543631554	48	42	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
43	12/2/2025 10:50:42 AM		1.83299994468689	139920.845031738	1517.61596679688	17	17	56	65.5599975585938	96	140.074302256107	48	42	1	79	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
44	12/2/2025 10:50:43 AM		1.8309999704361	139746.656799316	1517.61401367188	17	17	56	65.5599975585938	97	139.921469986439	48	43	1	72	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
45	12/2/2025 10:50:44 AM		1.83599996566772	140121.469116211	1517.61401367188	17	17	56	65.5599975585938	97	140.303564071655	50	44	1	65	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
46	12/2/2025 10:50:45 AM		1.83399999141693	139993.121337891	1517.61901855469	17	17	56	65.5599975585938	96	140.150718390942	50	45	1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
47	12/2/2025 10:50:46 AM		1.83599996566772	140149.415588379	1517.60998535156	17	17	56	65.5599975585938	96	140.303564071655	50	45	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
48	12/2/2025 10:50:47 AM		1.83899998664856	140390.455627441	1517.59997558594	17	17	56	65.5599975585938	96	140.532812476158	48	46	1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
49	12/2/2025 10:50:48 AM		1.8400000333786	140422.700500488	1517.59997558594	17	17	56	65.5599975585938	96	140.609228610992	48	46	1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
50	12/2/2025 10:50:49 AM		1.83800005912781	140288.186645508	1517.60498046875	17	17	56	65.5599975585938	96	140.456396341324	49	46	1	39	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
51	12/2/2025 10:50:50 AM		1.83899998664856	140396.52557373	1517.60095214844	17	17	56	65.5599975585938	96	140.532812476158	46	47	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
52	12/2/2025 10:50:51 AM		1.83800005912781	140250.833129883	1517.59997558594	17	17	56	65.5599975585938	97	140.456396341324	49	47	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
53	12/2/2025 10:50:52 AM		1.83800005912781	140263.632202148	1517.59704589844	17	17	56	65.5599975585938	97	140.456396341324	49	47	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
54	12/2/2025 10:50:53 AM		1.83500003814697	140078.622436523	1517.59594726562	17	17	56	65.5599975585938	96	140.227134525776	49	47	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
55	12/2/2025 10:50:54 AM		1.82599997520447	139402.565002441	1517.59899902344	17	17	56	65.5599975585938	96	139.539375901222	49	48	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
