Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
9	12/4/2025 1:19:48 PM		0.754999995231628	48849.5887756348	1472.583984375	18	18	58	62.5800018310547	94	48.9317871630192	36	3	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
10	12/4/2025 1:19:49 PM		0.754999995231628	48849.5887756348	1472.583984375	18	18	58	62.5800018310547	94	48.9317871630192	36	3	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
11	12/4/2025 1:19:50 PM		0.740000009536743	47915.0196075439	1469.61999511719	18	18	50	74.5	99	47.9596339166164	39	9	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
12	12/4/2025 1:19:51 PM		0.737999975681305	47742.5136566162	1469.61999511719	18	18	50	74.5	99	47.8300128132105	39	9	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
13	12/4/2025 1:19:52 PM		0.739000022411346	47846.4855194092	1469.19897460938	18	18	52	71.5199966430664	94	47.8948216885328	44	15	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
14	12/4/2025 1:19:53 PM		0.736000001430511	47673.4886169434	1469.19897460938	18	18	52	71.5199966430664	94	47.7003917098045	44	15	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
15	12/4/2025 1:19:54 PM		0.739000022411346	47863.8782501221	1469.19702148438	18	18	52	71.5199966430664	95	47.8948216885328	42	19	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
16	12/4/2025 1:19:55 PM		0.742999970912933	48103.2291412354	1469.24096679688	18	18	52	71.5199966430664	93	48.1540638953447	42	21	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
17	12/4/2025 1:19:56 PM		0.741999983787537	48049.7085571289	1469.24096679688	18	18	52	71.5199966430664	93	48.0892550200224	42	21	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
18	12/4/2025 1:19:57 PM		0.726999998092651	47031.591796875	1469.31396484375	18	18	52	71.5199966430664	93	47.1170984208584	41	23	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
19	12/4/2025 1:19:58 PM		0.726999998092651	47031.591796875	1469.31396484375	18	18	52	71.5199966430664	93	47.1170984208584	41	23	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
20	12/4/2025 1:19:59 PM		0.711000025272369	46051.1375427246	1469.71496582031	18	18	56	65.5599975585938	94	46.080132946372	42	26	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
21	12/4/2025 1:20:00 PM		0.731000006198883	47336.9842529297	1470.11096191406	18	18	57	64.0699996948242	94	47.3763406276703	41	27	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
22	12/4/2025 1:20:01 PM		0.74099999666214	47990.8973693848	1469.65795898438	18	18	58	62.5800018310547	94	48.0244427919388	48	29	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
23	12/4/2025 1:20:02 PM		0.732999980449677	47421.8948364258	1469.56604003906	18	18	59	61.0900001525879	93	47.5059617310762	46	32	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
24	12/4/2025 1:20:03 PM		0.728999972343445	47194.1104888916	1469.61804199219	18	18	59	61.0900001525879	93	47.2467195242643	46	33	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
25	12/4/2025 1:20:04 PM		0.72299998998642	46825.5054473877	1469.61804199219	18	18	59	61.0900001525879	93	46.8578562140465	46	33	1	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
26	12/4/2025 1:20:05 PM		0.730000019073486	47274.2797851562	1470.65295410156	18	18	60	59.5999984741211	96	47.3115283995867	44	35	1	215	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
27	12/4/2025 1:20:06 PM		0.731000006198883	47330.1933288574	1471.14196777344	18	18	60	59.5999984741211	96	47.3763406276703	46	37	1	190	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
28	12/4/2025 1:20:07 PM		0.731000006198883	47322.1286773682	1471.14196777344	18	18	60	59.5999984741211	96	47.3763406276703	46	37	1	190	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
29	12/4/2025 1:20:08 PM		0.730000019073486	47281.2423706055	1471.64697265625	18	18	60	59.5999984741211	95	47.3115283995867	47	38	1	188	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
30	12/4/2025 1:20:09 PM		0.726999998092651	47048.2669830322	1472.16101074219	18	18	60	59.5999984741211	95	47.1170984208584	45	39	1	151	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
31	12/4/2025 1:20:10 PM		0.726000010967255	47026.579284668	1472.41101074219	18	18	60	59.5999984741211	95	47.052289545536	45	39	1	136	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
32	12/4/2025 1:20:11 PM		0.722000002861023	46747.1385955811	1472.66296386719	18	18	60	59.5999984741211	93	46.7930473387241	46	40	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
33	12/4/2025 1:20:12 PM		0.720000028610229	46581.7153930664	1472.93896484375	18	18	60	59.5999984741211	96	46.6634262353182	46	41	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
34	12/4/2025 1:20:13 PM		0.718999981880188	46545.8484649658	1473.28698730469	18	18	62	56.6199989318848	94	46.5986173599958	46	41	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
35	12/4/2025 1:20:14 PM		0.717999994754791	46510.1051330566	1473.63903808594	18	18	62	56.6199989318848	96	46.5338051319122	48	42	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
36	12/4/2025 1:20:15 PM		0.720000028610229	46631.205368042	1473.98303222656	18	18	62	56.6199989318848	97	46.6634262353182	46	42	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
37	12/4/2025 1:20:16 PM		0.718999981880188	46559.8285675049	1474.3330078125	18	18	61	58.1100006103516	95	46.5986173599958	45	43	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
38	12/4/2025 1:20:17 PM		0.721000015735626	46678.0792236328	1474.71899414062	18	18	58	62.5800018310547	94	46.7282384634018	48	43	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
39	12/4/2025 1:20:18 PM		0.72299998998642	46823.2154846191	1474.78796386719	18	18	58	62.5800018310547	94	46.8578562140465	48	43	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
40	12/4/2025 1:20:19 PM		0.723999977111816	46861.6367340088	1474.88598632812	18	18	57	64.0699996948242	97	46.9226684421301	45	42	1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
41	12/4/2025 1:20:20 PM		0.72299998998642	46792.1447753906	1474.98095703125	18	18	56	65.5599975585938	96	46.8578562140465	48	42	1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
42	12/4/2025 1:20:21 PM		0.721000015735626	46686.3876342773	1475.07495117188	18	18	59	61.0900001525879	97	46.7282384634018	46	43	1	41	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
43	12/4/2025 1:20:22 PM		0.720000028610229	46628.9978027344	1474.52905273438	18	18	60	59.5999984741211	94	46.6634262353182	46	43	1	38	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
44	12/4/2025 1:20:23 PM		0.717999994754791	46481.0531616211	1474.48400878906	18	18	60	59.5999984741211	96	46.5338051319122	47	43	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
45	12/4/2025 1:20:24 PM		0.716000020503998	46357.3402404785	1474.77795410156	18	18	59	61.0900001525879	86	46.4041840285063	23	43	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
46	12/4/2025 1:20:25 PM		0.71399998664856	46239.7590637207	1475.79602050781	18	18	56	65.5599975585938	92	46.2745662778616	24	43	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
47	12/4/2025 1:20:26 PM		0.720000028610229	46578.1311035156	1476.93994140625	18	18	45	81.9499969482422	84	46.6634262353182	29	41	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7536245913035
