Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
54	12/9/2025 12:35:04 PM		-2.02999997138977	-100171.060180664	1404.60595703125	13	13	44	83.4400024414062	83	-100.311639904976	31	13	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
55	12/9/2025 12:35:05 PM		-2.02500009536743	-99920.0843811035	1412.13195800781	13	13	43	84.9300003051758	82	-100.064568221569	32	16	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
56	12/9/2025 12:35:06 PM		-2.00200009346008	-98800.3509521484	1412.13195800781	13	13	43	84.9300003051758	82	-98.9280290901661	32	16	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
57	12/9/2025 12:35:07 PM		-2.03299999237061	-100323.893737793	1436.38696289062	13	13	43	84.9300003051758	86	-100.459885597229	31	18	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
58	12/9/2025 12:35:08 PM		-2.04999995231628	-101165.309143066	1437.53295898438	13	13	44	83.4400024414062	85	-101.299933344126	33	19	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
59	12/9/2025 12:35:09 PM		-2.00799989700317	-99094.7776794434	1438.80700683594	13	13	43	84.9300003051758	84	-99.2245204746723	32	20	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
60	12/9/2025 12:35:10 PM		-1.97200000286102	-97305.5786132812	1438.80700683594	13	13	43	84.9300003051758	84	-97.4455922842026	32	20	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
61	12/9/2025 12:35:11 PM		-1.96000003814697	-96743.669128418	1440.39501953125	13	13	43	84.9300003051758	77	-96.8526162207127	31	22	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
62	12/9/2025 12:35:12 PM		-1.93499994277954	-95520.2041625977	1442.07104492188	13	13	43	84.9300003051758	79	-95.617251098156	32	22	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
63	12/9/2025 12:35:13 PM		-1.94500005245209	-95992.1905517578	1442.07104492188	13	13	43	84.9300003051758	79	-96.1114011704922	32	22	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
64	12/9/2025 12:35:14 PM		-1.95899999141693	-96671.248626709	1443.7060546875	13	13	42	86.4199981689453	80	-96.8032032251358	31	23	2	241	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
65	12/9/2025 12:35:15 PM		-1.98399996757507	-97932.1769714355	1443.76696777344	13	13	42	86.4199981689453	83	-98.0385683476925	30	23	2	205	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
66	12/9/2025 12:35:16 PM		-2.00300002098083	-98838.631439209	1443.92602539062	13	13	42	86.4199981689453	90	-98.9774487912655	29	24	2	177	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
67	12/9/2025 12:35:17 PM		-1.99199998378754	-98322.713470459	1443.92602539062	13	13	42	86.4199981689453	90	-98.4338857233524	29	24	2	177	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
68	12/9/2025 12:35:18 PM		-1.99399995803833	-98438.8320922852	1444.27502441406	13	13	41	87.9100036621094	71	-98.5327117145061	29	24	2	150	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
69	12/9/2025 12:35:19 PM		-1.98399996757507	-97922.3442077637	1444.93505859375	13	13	41	87.9100036621094	80	-98.0385683476925	30	24	2	148	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
70	12/9/2025 12:35:20 PM		-1.96200001239777	-96817.7513122559	1445.93701171875	13	13	41	87.9100036621094	76	-96.9514489173889	31	24	2	130	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
71	12/9/2025 12:35:21 PM		-1.94400000572205	-95956.5055847168	1446.31604003906	13	13	40	89.4000015258789	76	-96.0619814693928	30	24	3	106	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
72	12/9/2025 12:35:22 PM		-1.942999958992	-95894.1925048828	1446.31604003906	13	13	40	89.4000015258789	76	-96.0125684738159	30	24	3	106	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
73	12/9/2025 12:35:23 PM		-1.96599996089935	-97016.8853759766	1446.67199707031	13	13	41	87.9100036621094	78	-97.1491076052189	30	24	3	92	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
74	12/9/2025 12:35:24 PM		-1.96599996089935	-97016.8853759766	1446.67199707031	13	13	41	87.9100036621094	78	-97.1491076052189	30	24	3	92	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
75	12/9/2025 12:35:25 PM		-1.96700000762939	-97084.1491699219	1447.52001953125	13	13	40	89.4000015258789	80	-97.1985206007957	31	24	3	78	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
76	12/9/2025 12:35:26 PM		-1.92700004577637	-95105.5183410645	1448.34594726562	13	13	40	89.4000015258789	82	-95.221933722496	30	24	2	68	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
77	12/9/2025 12:35:27 PM		-1.89300000667572	-93418.1488037109	1449.31103515625	13	13	40	89.4000015258789	78	-93.5418382287025	29	24	2	60	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
78	12/9/2025 12:35:28 PM		-1.87800002098083	-92669.3481445312	1449.85302734375	13	13	40	89.4000015258789	79	-92.8006231784821	29	24	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
79	12/9/2025 12:35:29 PM		-1.86300003528595	-91964.527130127	1449.85302734375	13	13	40	89.4000015258789	79	-92.059401422739	29	24	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
80	12/9/2025 12:35:30 PM		-1.89800000190735	-93697.5036621094	1450.37805175781	13	13	40	89.4000015258789	78	-93.7889099121094	28	24	2	44	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
81	12/9/2025 12:35:31 PM		-1.9099999666214	-94258.0535888672	1451.28894042969	13	13	40	89.4000015258789	90	-94.3818859755993	29	24	2	37	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
82	12/9/2025 12:35:32 PM		-1.91199994087219	-94378.0242919922	1451.28894042969	13	13	40	89.4000015258789	90	-94.4807186722755	29	24	2	37	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
83	12/9/2025 12:35:33 PM		-1.90600001811981	-94057.4913024902	1452.34997558594	13	13	40	89.4000015258789	86	-94.1842272877693	27	24	3	32	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
84	12/9/2025 12:35:34 PM		-1.88399994373322	-93006.7726135254	1453.375	13	13	40	89.4000015258789	88	-93.0971078574657	27	24	3	29	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
85	12/9/2025 12:35:35 PM		-1.87699997425079	-92628.7124633789	1453.75	13	13	40	89.4000015258789	80	-92.7512034773827	29	24	3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
86	12/9/2025 12:35:36 PM		-1.87000000476837	-92288.2255554199	1454.11401367188	13	13	40	89.4000015258789	84	-92.4053058028221	28	24	3	23	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
87	12/9/2025 12:35:37 PM		-1.86899995803833	-92243.8201904297	1454.11401367188	13	13	40	89.4000015258789	84	-92.3558861017227	28	24	3	23	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
88	12/9/2025 12:35:38 PM		-1.87999999523163	-92807.0205688477	1454.52001953125	13	13	40	89.4000015258789	88	-92.8994491696358	28	24	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
89	12/9/2025 12:35:39 PM		-1.87999999523163	-92790.966796875	1455.10803222656	13	13	40	89.4000015258789	75	-92.8994491696358	28	24	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
90	12/9/2025 12:35:40 PM		-1.87699997425079	-92637.3023986816	1455.50500488281	13	13	40	89.4000015258789	67	-92.7512034773827	28	24	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
91	12/9/2025 12:35:41 PM		-1.87100005149841	-92344.7982788086	1455.32495117188	13	13	40	89.4000015258789	85	-92.454718798399	28	23	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
92	12/9/2025 12:35:42 PM		-1.87399995326996	-92471.1547851562	1455.32495117188	13	13	40	89.4000015258789	85	-92.6029644906521	28	23	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
93	12/9/2025 12:35:43 PM		-1.88100004196167	-92823.7129211426	1454.68200683594	13	13	39	90.8899993896484	66	-92.9488621652126	30	23	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
94	12/9/2025 12:35:44 PM		-1.87800002098083	-92696.4294433594	1454.29699707031	13	13	39	90.8899993896484	60	-92.8006231784821	30	23	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
95	12/9/2025 12:35:45 PM		-1.875	-92533.275604248	1454.29699707031	13	13	39	90.8899993896484	60	-92.6523774862289	30	23	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
96	12/9/2025 12:35:46 PM		-1.87199997901917	-92377.9769897461	1454.18103027344	13	13	39	90.8899993896484	49	-92.5041317939758	29	23	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
97	12/9/2025 12:35:47 PM		-1.88499999046326	-93050.1205444336	1453.55505371094	13	13	40	89.4000015258789	56	-93.1465208530426	31	23	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1947453371042
