Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
13	12/9/2025 12:55:34 PM		NaN	NaN	∞	14	15	15	126.650001525879	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
14	12/9/2025 12:55:35 PM		0	0	1911.96496582031	14	15	30	104.300003051758	45	0	15	0	3	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
15	12/9/2025 12:55:36 PM		0	0	2028.15698242188	14	15	32	101.319999694824	91	0	21	2	3	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
16	12/9/2025 12:55:37 PM		0	0	2028.15698242188	14	15	32	101.319999694824	91	0	21	2	3	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
17	12/9/2025 12:55:38 PM		0.0309999994933605	263.555762171745	2028.15698242188	14	15	32	101.319999694824	91	0.260343693662435	21	2	3	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
18	12/9/2025 12:55:39 PM		0.0309999994933605	263.555762171745	2028.15698242188	14	15	32	101.319999694824	91	0.260343693662435	21	2	3	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
19	12/9/2025 12:55:40 PM		0.0280000008642673	235.742247104645	2055.07299804688	14	15	32	101.319999694824	78	0.235149159561843	23	5	5	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
20	12/9/2025 12:55:41 PM		0	0	2055.07299804688	14	15	32	101.319999694824	78	0	23	5	5	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
21	12/9/2025 12:55:42 PM		0	0	2055.07299804688	14	15	32	101.319999694824	78	0	23	5	5	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
22	12/9/2025 12:55:43 PM		0	0	2055.07299804688	14	15	32	101.319999694824	78	0	23	5	5	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
23	12/9/2025 12:55:44 PM		0	0	2042.72705078125	14	15	30	104.300003051758	36	0	18	6	6	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
24	12/9/2025 12:55:45 PM		0.0320000015199184	272.086527943611	2042.72705078125	14	15	30	104.300003051758	36	0.268741889158264	18	6	6	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
25	12/9/2025 12:55:46 PM		0.0320000015199184	272.086527943611	2042.72705078125	14	15	30	104.300003051758	36	0.268741889158264	18	6	6	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
26	12/9/2025 12:55:47 PM		0.0370000004768372	308.017373085022	2081.20092773438	14	15	31	102.809997558594	78	0.310732814250514	21	7	6	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
27	12/9/2025 12:55:48 PM		0.0390000008046627	328.936484456062	2081.20092773438	14	15	31	102.809997558594	78	0.327529179048724	21	7	6	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
28	12/9/2025 12:55:49 PM		0.034000001847744	283.501097559929	2081.20092773438	14	15	31	102.809997558594	78	0.285538253956474	21	7	6	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
29	12/9/2025 12:55:50 PM		0	0	2149.037109375	14	15	31	102.809997558594	60	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
30	12/9/2025 12:55:51 PM		0	0	2149.037109375	14	15	31	102.809997558594	60	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
31	12/9/2025 12:55:52 PM		0	0	2191.44995117188	14	15	31	102.809997558594	55	0	22	8	7	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	14.4601984758665
32	12/9/2025 12:55:53 PM		NaN	NaN	2191.44995117188	15	15	31	102.809997558594	55	NaN	22	8	7	∞	3	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
33	12/9/2025 12:55:54 PM		-0.0729999989271164	-610.432469844818	2179.73291015625	15	15	32	101.319999694824	43	-0.613067433005199	16	9	7	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
34	12/9/2025 12:55:55 PM		NaN	NaN	2179.73291015625	15	15	32	101.319999694824	43	NaN	16	9	7	∞	3	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
35	12/9/2025 12:55:56 PM		NaN	NaN	2179.73291015625	15	15	32	101.319999694824	43	NaN	16	9	7	∞	3	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
36	12/9/2025 12:55:57 PM		-0.0329999998211861	-275.144836306572	2194.98388671875	15	15	30	104.300003051758	76	-0.277140084654093	16	8	7	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
37	12/9/2025 12:55:58 PM		0	0	2194.98388671875	15	15	30	104.300003051758	76	0	16	8	7	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	15.2157428328213
38	12/9/2025 12:55:59 PM		NaN	NaN	2163.97705078125	15	15	36	95.3600006103516	71	NaN	20	10	7	∞	3	0	0	0	0	0	0	0	1	0	0	0	0	15.2157428328213
39	12/9/2025 12:56:00 PM		0	0	2163.97705078125	15	15	36	95.3600006103516	71	0	20	10	7	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	15.2157428328213
40	12/9/2025 12:56:01 PM		0.0649999976158142	543.896466493607	2209.7958984375	15	15	31	102.809997558594	63	0.545881973812357	23	10	7	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
41	12/9/2025 12:56:02 PM		0	0	2209.7958984375	15	15	31	102.809997558594	63	0	23	10	7	∞	0	0	0	0	0	0	0	0	1	0	0	0	0	15.2157428328213
42	12/9/2025 12:56:03 PM		0.0659999996423721	549.874466657639	2205.63500976562	15	15	33	99.8300018310547	68	0.554280169308186	10	11	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
43	12/9/2025 12:56:04 PM		0.145999997854233	1226.21927261353	2205.63500976562	14	15	33	99.8300018310547	68	1.2261348660104	10	11	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
44	12/9/2025 12:56:05 PM		0.145999997854233	1226.21927261353	2205.63500976562	14	15	33	99.8300018310547	68	1.2261348660104	10	11	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
45	12/9/2025 12:56:06 PM		0.158000007271767	1328.85882854462	2204.7939453125	14	15	34	98.3399963378906	81	1.32691310718656	11	11	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
46	12/9/2025 12:56:07 PM		0.158000007271767	1328.85882854462	2204.7939453125	14	15	34	98.3399963378906	81	1.32691310718656	11	11	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
47	12/9/2025 12:56:08 PM		0.162000000476837	1358.00811052322	2206.29296875	14	15	33	99.8300018310547	87	1.36050578439608	11	11	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
48	12/9/2025 12:56:09 PM		0.162000000476837	1358.00811052322	2206.29296875	14	15	33	99.8300018310547	87	1.36050578439608	11	11	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
49	12/9/2025 12:56:10 PM		0.203999996185303	1707.06607103348	2283.07495117188	14	15	33	99.8300018310547	22	1.71322957612574	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
50	12/9/2025 12:56:11 PM		0.216000005602837	1814.76974487305	2283.07495117188	14	15	33	99.8300018310547	22	1.81400771252811	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
51	12/9/2025 12:56:12 PM		NaN	NaN	2281.30200195312	14	15	30	104.300003051758	8	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
52	12/9/2025 12:56:13 PM		NaN	NaN	2281.30200195312	14	15	30	104.300003051758	8	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
53	12/9/2025 12:56:14 PM		0.194999992847443	1634.88975763321	2312.23291015625	14	15	32	101.319999694824	49	1.63764586905017	18	10	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4601984758665
54	12/9/2025 12:56:15 PM		0.209999993443489	1759.41356420517	2312.23291015625	15	15	32	101.319999694824	49	1.76361864432693	18	10	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
55	12/9/2025 12:56:16 PM		0.195999994874001	1647.98076152802	2324.86108398438	15	15	31	102.809997558594	53	1.6460441169329	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
56	12/9/2025 12:56:17 PM		0.133000001311302	1113.41392993927	2324.86108398438	15	15	31	102.809997558594	53	1.11695848172531	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
57	12/9/2025 12:56:18 PM		0.11599999666214	975.489592552185	2340.5810546875	15	15	31	102.809997558594	44	0.974189315456897	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
58	12/9/2025 12:56:19 PM		0.158999994397163	1336.5819811821	2340.5810546875	15	15	31	102.809997558594	44	1.33531125029549	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
59	12/9/2025 12:56:20 PM		0.175999999046326	1473.05717468262	2353.92211914062	15	15	31	102.809997558594	54	1.4780804165639	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
60	12/9/2025 12:56:21 PM		0.200000002980232	1674.29612874985	2353.92211914062	15	15	31	102.809997558594	54	1.67963679414243	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
61	12/9/2025 12:56:22 PM		0.136000007390976	1142.89290904999	2343.15600585938	15	15	31	102.809997558594	54	1.1421530158259	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
62	12/9/2025 12:56:23 PM		NaN	NaN	2343.15600585938	15	15	31	102.809997558594	54	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
63	12/9/2025 12:56:24 PM		NaN	NaN	2359.84790039062	15	15	31	102.809997558594	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
64	12/9/2025 12:56:25 PM		NaN	NaN	2359.84790039062	15	15	31	102.809997558594	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
65	12/9/2025 12:56:26 PM		NaN	NaN	2359.84790039062	15	15	31	102.809997558594	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
66	12/9/2025 12:56:27 PM		NaN	NaN	∞	15	15	17	123.669998168945	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
67	12/9/2025 12:56:28 PM		NaN	NaN	∞	15	15	17	123.669998168945	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
68	12/9/2025 12:56:29 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
69	12/9/2025 12:56:30 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
70	12/9/2025 12:56:31 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
71	12/9/2025 12:56:32 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
72	12/9/2025 12:56:33 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
73	12/9/2025 12:56:34 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
74	12/9/2025 12:56:35 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
75	12/9/2025 12:56:36 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
76	12/9/2025 12:56:37 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
77	12/9/2025 12:56:38 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
78	12/9/2025 12:56:39 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
79	12/9/2025 12:56:40 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
80	12/9/2025 12:56:41 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
81	12/9/2025 12:56:42 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
82	12/9/2025 12:56:43 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
83	12/9/2025 12:56:44 PM		NaN	NaN	∞	15	15	16	125.160003662109	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
84	12/9/2025 12:56:45 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
85	12/9/2025 12:56:46 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
86	12/9/2025 12:56:47 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
87	12/9/2025 12:56:48 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
88	12/9/2025 12:56:49 PM		NaN	NaN	∞	15	15	14	128.139999389648	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
89	12/9/2025 12:56:50 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
90	12/9/2025 12:56:51 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
91	12/9/2025 12:56:52 PM		NaN	NaN	∞	15	15	14	128.139999389648	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
92	12/9/2025 12:56:53 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
93	12/9/2025 12:56:54 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
94	12/9/2025 12:56:55 PM		NaN	NaN	∞	15	15	15	126.650001525879	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
95	12/9/2025 12:56:56 PM		NaN	NaN	∞	15	15	14	128.139999389648	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
96	12/9/2025 12:56:57 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
97	12/9/2025 12:56:58 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
98	12/9/2025 12:56:59 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
99	12/9/2025 12:57:00 PM		NaN	NaN	∞	15	15	13	129.630004882812	40	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
100	12/9/2025 12:57:01 PM		0.0799999982118607	672.757512331009	2333.291015625	15	15	38	92.379997253418	97	0.671854696702212	24	1	2	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
101	12/9/2025 12:57:02 PM		0.0719999969005585	606.664127111435	2333.291015625	15	15	38	92.379997253418	97	0.60466923750937	24	1	2	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
102	12/9/2025 12:57:03 PM		0.063000001013279	527.715182304382	2311.32690429688	15	15	34	98.3399963378906	99	0.529085582820699	24	6	2	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
103	12/9/2025 12:57:04 PM		0.0590000003576279	497.38889336586	2311.32690429688	15	15	34	98.3399963378906	99	0.495492853224277	24	6	2	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
