Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	12/9/2025 1:02:19 PM		NaN	NaN	∞	15	15	14	128.139999389648	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
2	12/9/2025 1:02:20 PM		NaN	NaN	∞	15	15	14	128.139999389648	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
3	12/9/2025 1:02:21 PM		NaN	NaN	∞	15	15	42	86.4199981689453	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
4	12/9/2025 1:02:22 PM		NaN	NaN	∞	15	15	42	86.4199981689453	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
5	12/9/2025 1:02:23 PM		NaN	NaN	∞	15	15	42	86.4199981689453	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
6	12/9/2025 1:02:24 PM		NaN	NaN	2052.28295898438	15	15	44	83.4400024414062	12	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
7	12/9/2025 1:02:25 PM		NaN	NaN	2052.28295898438	15	15	44	83.4400024414062	12	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
8	12/9/2025 1:02:26 PM		NaN	NaN	2006.23498535156	15	15	44	83.4400024414062	30	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
9	12/9/2025 1:02:27 PM		NaN	NaN	∞	15	15	43	84.9300003051758	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
10	12/9/2025 1:02:28 PM		NaN	NaN	∞	15	15	44	83.4400024414062	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
