Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
14	12/9/2025 1:31:06 PM		3.18899989128113	155492.015075684	1262.98498535156	16	16	36	95.3600006103516	82	155.681727826595	25	2	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
15	12/9/2025 1:31:07 PM		3.18400001525879	155232.641601562	1262.98498535156	16	16	36	95.3600006103516	82	155.437633395195	25	2	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
16	12/9/2025 1:31:08 PM		3.14499998092651	153360.461425781	1262.98498535156	16	16	36	95.3600006103516	82	153.533720970154	25	2	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
17	12/9/2025 1:31:09 PM		3.12599992752075	152399.363708496	1258.38903808594	16	16	34	98.3399963378906	3	152.606172859669	13	8	4	204	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
18	12/9/2025 1:31:10 PM		3.13199996948242	152737.042236328	1258.38903808594	16	16	34	98.3399963378906	3	152.89908349514	13	8	4	204	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
19	12/9/2025 1:31:11 PM		3.13199996948242	152737.042236328	1258.38903808594	16	16	34	98.3399963378906	3	152.89908349514	13	8	4	204	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
20	12/9/2025 1:31:12 PM		3.13199996948242	152737.042236328	1258.38903808594	16	16	34	98.3399963378906	3	152.89908349514	13	8	4	204	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
21	12/9/2025 1:31:13 PM		3.16599988937378	154353.089904785	1258.21398925781	16	16	39	90.8899993896484	24	154.558901488781	21	11	5	135	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
22	12/9/2025 1:31:14 PM		3.16599988937378	154353.089904785	1258.21398925781	16	16	39	90.8899993896484	24	154.558901488781	21	11	5	135	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
23	12/9/2025 1:31:15 PM		3.19600009918213	155839.498901367	1258.10205078125	16	16	39	90.8899993896484	11	156.023454666138	20	13	5	110	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
24	12/9/2025 1:31:16 PM		3.20600008964539	156310.372924805	1258.10205078125	16	16	39	90.8899993896484	11	156.511630117893	20	13	5	110	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
25	12/9/2025 1:31:17 PM		3.20700001716614	156386.933898926	1256.85400390625	16	16	39	90.8899993896484	26	156.560459733009	20	15	6	85	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
26	12/9/2025 1:31:18 PM		3.20600008964539	156335.064697266	1256.85400390625	16	16	39	90.8899993896484	26	156.511630117893	20	15	6	85	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7274631574446
