Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
17	12/9/2025 1:48:29 PM		3.11999988555908	221052.474975586	1451.05700683594	17	17	46	80.4599990844727	86	221.338690817356	24	1	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
18	12/9/2025 1:48:30 PM		3.11999988555908	221052.474975586	1451.05700683594	17	17	46	80.4599990844727	86	221.338690817356	24	1	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
19	12/9/2025 1:48:31 PM		3.11899995803833	220986.103820801	1448.44897460938	17	17	49	75.9899978637695	82	221.267746388912	22	9	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
20	12/9/2025 1:48:32 PM		3.10400009155273	219914.923095703	1448.44897460938	17	17	49	75.9899978637695	82	220.203620195389	22	9	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
21	12/9/2025 1:48:33 PM		3.10400009155273	219914.923095703	1448.44897460938	17	17	49	75.9899978637695	82	220.203620195389	22	9	2	254	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
22	12/9/2025 1:48:34 PM		3.09400010108948	219234.265136719	1446.63000488281	17	17	49	75.9899978637695	96	219.49420273304	21	15	4	204	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
23	12/9/2025 1:48:35 PM		3.08400011062622	218519.165039062	1446.63000488281	17	17	49	75.9899978637695	96	218.784785270691	21	15	4	204	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
24	12/9/2025 1:48:36 PM		3.08200001716614	218362.554931641	1445.92895507812	17	17	49	75.9899978637695	92	218.642896413803	22	20	4	152	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
25	12/9/2025 1:48:37 PM		3.07999992370605	218249.848937988	1445.92895507812	17	17	49	75.9899978637695	92	218.501007556915	22	20	4	152	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
26	12/9/2025 1:48:38 PM		3.0789999961853	218153.594970703	1445.57800292969	17	17	51	73.0100021362305	95	218.430076539516	23	22	4	123	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
27	12/9/2025 1:48:39 PM		3.07100009918213	217585.656738281	1445.373046875	17	17	51	73.0100021362305	97	217.86253452301	23	24	5	105	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
28	12/9/2025 1:48:40 PM		3.05100011825562	216189.074707031	1445.29504394531	17	17	50	74.5	96	216.443699598312	23	26	5	95	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
29	12/9/2025 1:48:41 PM		3.05100011825562	216210.443115234	1445.27502441406	17	17	50	74.5	97	216.443699598312	24	27	5	82	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
30	12/9/2025 1:48:42 PM		3.05599999427795	216568.199157715	1445.27502441406	17	17	50	74.5	97	216.798408329487	24	27	5	82	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
31	12/9/2025 1:48:43 PM		3.04099988937378	215448.458862305	1444.57604980469	17	17	51	73.0100021362305	92	215.734282135963	25	28	5	74	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
32	12/9/2025 1:48:44 PM		3.07800006866455	218083.351135254	1444.71801757812	17	17	50	74.5	96	218.359132111073	25	29	5	64	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
33	12/9/2025 1:48:45 PM		3.07999992370605	218262.428283691	1444.89697265625	17	17	50	74.5	95	218.501007556915	26	30	5	58	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
34	12/9/2025 1:48:46 PM		3.05699992179871	216614.231872559	1445.10803222656	17	17	51	73.0100021362305	99	216.869352757931	25	31	5	53	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
35	12/9/2025 1:48:47 PM		3.03099989891052	214748.657226562	1445.32397460938	17	17	51	73.0100021362305	98	215.024864673615	26	32	5	46	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
36	12/9/2025 1:48:48 PM		3.0239999294281	214262.333679199	1445.55603027344	17	17	52	71.5199966430664	96	214.528267085552	26	32	5	41	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
37	12/9/2025 1:48:49 PM		3.02300000190735	214222.727966309	1445.76501464844	17	17	52	71.5199966430664	92	214.457322657108	26	33	5	37	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
38	12/9/2025 1:48:50 PM		3.04299998283386	215601.676940918	1445.96704101562	17	17	52	71.5199966430664	95	215.876157581806	26	33	5	31	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
39	12/9/2025 1:48:51 PM		3.04399991035461	215699.743652344	1445.96704101562	17	17	52	71.5199966430664	95	215.94710201025	26	33	5	31	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
40	12/9/2025 1:48:52 PM		3.04699993133545	215878.271484375	1446.19201660156	17	17	52	71.5199966430664	93	216.159935295582	27	34	5	27	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
41	12/9/2025 1:48:53 PM		3.04800009727478	215945.960998535	1446.33898925781	17	17	52	71.5199966430664	91	216.230866312981	26	34	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
42	12/9/2025 1:48:54 PM		3.04999995231628	216090.129089355	1446.46203613281	17	17	52	71.5199966430664	89	216.372755169868	27	35	5	21	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
43	12/9/2025 1:48:55 PM		3.06200003623962	216948.284912109	1446.60498046875	17	17	52	71.5199966430664	92	217.224061489105	26	35	5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
44	12/9/2025 1:48:56 PM		3.06399989128113	217128.55682373	1446.76501464844	17	17	52	71.5199966430664	95	217.365936934948	26	36	5	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
45	12/9/2025 1:48:57 PM		3.06100010871887	216900.370788574	1446.92504882812	17	17	52	71.5199966430664	90	217.153117060661	27	36	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
46	12/9/2025 1:48:58 PM		3.06100010871887	216877.16217041	1447.11499023438	17	17	52	71.5199966430664	86	217.153117060661	26	36	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
47	12/9/2025 1:48:59 PM		3.06500005722046	217199.940490723	1447.11499023438	17	17	52	71.5199966430664	86	217.436881363392	26	36	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
48	12/9/2025 1:49:00 PM		3.06900000572205	217444.180297852	1447.30102539062	17	17	52	71.5199966430664	85	217.720645666122	26	37	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
49	12/9/2025 1:49:01 PM		3.06800007820129	217356.13861084	1447.49401855469	17	17	52	71.5199966430664	82	217.649714648724	25	37	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
50	12/9/2025 1:49:02 PM		3.06599998474121	217231.059265137	1447.5400390625	17	17	52	71.5199966430664	82	217.507825791836	25	37	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
51	12/9/2025 1:49:03 PM		3.05599999427795	216538.76953125	1447.57702636719	17	17	52	71.5199966430664	88	216.798408329487	25	37	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
52	12/9/2025 1:49:04 PM		3.0550000667572	216473.030090332	1447.65795898438	17	17	53	70.0299987792969	83	216.727463901043	25	37	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
53	12/9/2025 1:49:05 PM		3.0550000667572	216492.572021484	1447.74694824219	17	17	52	71.5199966430664	87	216.727463901043	24	38	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
54	12/9/2025 1:49:06 PM		3.06299996376038	217032.398986816	1447.74694824219	17	17	52	71.5199966430664	87	217.295005917549	24	38	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
55	12/9/2025 1:49:07 PM		3.06800007820129	217396.691894531	1447.8330078125	17	17	52	71.5199966430664	82	217.649714648724	24	38	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
56	12/9/2025 1:49:08 PM		3.06699991226196	217290.879821777	1447.92199707031	17	17	52	71.5199966430664	84	217.57877022028	24	38	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
57	12/9/2025 1:49:09 PM		3.06800007820129	217387.326049805	1448.03796386719	17	17	52	71.5199966430664	86	217.649714648724	23	38	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
58	12/9/2025 1:49:10 PM		3.0699999332428	217534.61151123	1448.1259765625	17	17	52	71.5199966430664	84	217.791590094566	23	39	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
59	12/9/2025 1:49:11 PM		3.07200002670288	217664.016723633	1448.1689453125	17	17	52	71.5199966430664	82	217.933478951454	22	39	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
60	12/9/2025 1:49:12 PM		3.0699999332428	217515.440368652	1448.22094726562	17	17	52	71.5199966430664	80	217.791590094566	22	39	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
61	12/9/2025 1:49:13 PM		3.0699999332428	217563.711547852	1448.29296875	17	17	52	71.5199966430664	80	217.791590094566	22	39	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
62	12/9/2025 1:49:14 PM		3.07200002670288	217671.556091309	1448.36401367188	17	17	52	71.5199966430664	85	217.933478951454	21	39	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
63	12/9/2025 1:49:15 PM		3.07999992370605	218260.615539551	1448.36401367188	17	17	52	71.5199966430664	85	218.501007556915	21	39	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
64	12/9/2025 1:49:16 PM		3.07699990272522	218048.181152344	1448.47595214844	17	17	53	70.0299987792969	79	218.288187682629	21	39	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
65	12/9/2025 1:49:17 PM		3.07500004768372	217861.880493164	1448.60302734375	17	17	52	71.5199966430664	84	218.146298825741	21	39	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
66	12/9/2025 1:49:18 PM		3.07399988174438	217782.641601562	1448.75805664062	17	17	53	70.0299987792969	96	218.075354397297	22	39	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
67	12/9/2025 1:49:19 PM		3.07100009918213	217605.294799805	1448.93603515625	17	17	53	70.0299987792969	95	217.86253452301	21	40	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
68	12/9/2025 1:49:20 PM		3.07399988174438	217810.176086426	1449.05200195312	17	17	53	70.0299987792969	95	218.075354397297	20	40	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
69	12/9/2025 1:49:21 PM		3.07100009918213	217592.070007324	1449.20202636719	17	17	53	70.0299987792969	96	217.86253452301	21	40	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
70	12/9/2025 1:49:22 PM		3.0699999332428	217551.585388184	1449.20202636719	17	17	53	70.0299987792969	96	217.791590094566	21	40	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
71	12/9/2025 1:49:23 PM		3.07200002670288	217644.708251953	1449.39294433594	17	17	53	70.0299987792969	97	217.933478951454	20	40	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
72	12/9/2025 1:49:24 PM		3.07500004768372	217865.437316895	1449.57397460938	17	17	52	71.5199966430664	98	218.146298825741	20	40	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
73	12/9/2025 1:49:25 PM		3.08200001716614	218395.582580566	1449.85095214844	17	17	53	70.0299987792969	97	218.642896413803	20	40	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
74	12/9/2025 1:49:26 PM		3.09200000762939	219060.804748535	1450.15100097656	17	17	52	71.5199966430664	99	219.352313876152	19	40	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
75	12/9/2025 1:49:27 PM		3.1010000705719	219746.104431152	1450.46203613281	17	17	52	71.5199966430664	98	219.990786910057	19	40	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
76	12/9/2025 1:49:28 PM		3.10599994659424	220103.462219238	1450.79504394531	17	17	52	71.5199966430664	99	220.345495641232	19	40	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
77	12/9/2025 1:49:29 PM		3.11999988555908	221090.501403809	1453.4150390625	17	17	51	73.0100021362305	93	221.338690817356	28	40	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
78	12/9/2025 1:49:30 PM		3.14800000190735	223032.609558105	1455.40197753906	17	17	50	74.5	90	223.325054347515	29	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
79	12/9/2025 1:49:31 PM		3.16300010681152	224153.050231934	1455.40197753906	17	17	50	74.5	90	224.389193952084	29	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
80	12/9/2025 1:49:32 PM		3.19000005722046	226062.817382812	1457.55603027344	17	17	50	74.5	94	226.304626464844	28	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
81	12/9/2025 1:49:33 PM		3.20799994468689	227317.840576172	1460.25695800781	17	17	49	75.9899978637695	88	227.581572532654	25	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
82	12/9/2025 1:49:34 PM		3.22900009155273	228802.766418457	1463.29296875	17	17	47	78.9700012207031	80	229.071351885796	23	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
83	12/9/2025 1:49:35 PM		3.24699997901917	230049.096679688	1463.29296875	17	17	47	78.9700012207031	80	230.348297953606	23	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
84	12/9/2025 1:49:36 PM		3.26999998092651	231722.259521484	1465.63903808594	17	17	46	80.4599990844727	63	231.979966163635	21	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
85	12/9/2025 1:49:37 PM		3.27900004386902	232324.282836914	1468.08605957031	17	17	45	81.9499969482422	63	232.61843919754	21	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
86	12/9/2025 1:49:38 PM		3.28200006484985	232548.92578125	1470.68701171875	17	17	46	80.4599990844727	63	232.831272482872	21	36	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
87	12/9/2025 1:49:39 PM		3.28900003433228	233051.138305664	1470.69396972656	17	17	45	81.9499969482422	63	233.327856659889	22	35	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
88	12/9/2025 1:49:40 PM		3.29900002479553	233769.287109375	1470.69396972656	17	17	45	81.9499969482422	63	234.037274122238	22	35	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2400719015331
