Index	Date	Trigger	A Flow velocity [m/s]	A Volumetric flow rate [m³/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	2/6/2026 2:23:17 PM		0.719730198383331	46.3997885584831	1507.21105957031	24	NaN	33	99.8300018310547	93	28	2	3	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
2	2/6/2026 2:23:18 PM		0.719730198383331	46.3997885584831	1507.21105957031	24	NaN	33	99.8300018310547	93	28	2	3	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
3	2/6/2026 2:23:19 PM		0.719730198383331	46.3997885584831	1507.21105957031	24	NaN	33	99.8300018310547	93	28	2	3	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
4	2/6/2026 2:23:20 PM		0.71600204706192	46.1594391614199	1507.36206054688	24	NaN	32	101.319999694824	86	28	3	4	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
5	2/6/2026 2:23:21 PM		0.721736490726471	46.5291313827038	1507.36206054688	24	NaN	32	101.319999694824	86	28	3	4	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
6	2/6/2026 2:23:22 PM		0.725614190101624	46.7791199684143	1507.36206054688	24	NaN	32	101.319999694824	86	28	3	4	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
7	2/6/2026 2:23:23 PM		0.725614190101624	46.7791199684143	1507.36206054688	24	NaN	32	101.319999694824	86	28	3	4	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
8	2/6/2026 2:23:24 PM		0.725252866744995	46.75582498312	1507.51000976562	24	NaN	32	101.319999694824	93	27	4	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
9	2/6/2026 2:23:25 PM		0.725042462348938	46.7422597110271	1507.51000976562	24	NaN	32	101.319999694824	93	27	4	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
10	2/6/2026 2:23:26 PM		0.721279561519623	46.4996706694365	1507.51000976562	24	NaN	32	101.319999694824	93	27	4	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
11	2/6/2026 2:23:27 PM		0.721279561519623	46.4996706694365	1507.51000976562	24	NaN	32	101.319999694824	93	27	4	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
12	2/6/2026 2:23:28 PM		0.721279561519623	46.4996706694365	1507.51000976562	24	NaN	32	101.319999694824	93	27	4	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
13	2/6/2026 2:23:29 PM		0.730160415172577	47.0722083002329	1507.78002929688	24	NaN	34	98.3399963378906	95	29	2	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
14	2/6/2026 2:23:30 PM		0.738567352294922	47.6141855120659	1507.78002929688	24	NaN	34	98.3399963378906	95	29	2	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
15	2/6/2026 2:23:31 PM		0.732862114906311	47.2463808953762	1507.78002929688	24	NaN	34	98.3399963378906	95	29	2	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
16	2/6/2026 2:23:32 PM		0.732862114906311	47.2463808953762	1507.78002929688	24	NaN	34	98.3399963378906	95	29	2	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
17	2/6/2026 2:23:33 PM		0.716368317604065	46.183056011796	1507.79797363281	24	NaN	34	98.3399963378906	99	26	2	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
18	2/6/2026 2:23:34 PM		0.71312141418457	45.9737330675125	1507.79797363281	24	NaN	34	98.3399963378906	99	26	2	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
19	2/6/2026 2:23:35 PM		0.710458219051361	45.8020381629467	1507.79797363281	24	NaN	34	98.3399963378906	99	26	2	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
20	2/6/2026 2:23:36 PM		0.710458219051361	45.8020381629467	1507.79797363281	24	NaN	34	98.3399963378906	99	26	2	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
21	2/6/2026 2:23:37 PM		0.712823152542114	45.954504981637	1508.16796875	24	NaN	33	99.8300018310547	97	25	2	7	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
22	2/6/2026 2:23:38 PM		0.718116104602814	46.2957289069891	1508.16796875	24	NaN	33	99.8300018310547	97	25	2	7	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
23	2/6/2026 2:23:39 PM		0.723502576351166	46.6429878026247	1508.16796875	24	NaN	33	99.8300018310547	97	25	2	7	254	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
