Index	Date	Trigger	A Flow velocity [m/s]	A Volumetric flow rate [m³/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	2/6/2026 3:53:19 PM		2.05252170562744	232.134729623795	1409.04504394531	27	NaN	34	98.3399963378906	88	29	12	6	66	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
2	2/6/2026 3:53:20 PM		2.05252170562744	232.134729623795	1409.04504394531	27	NaN	34	98.3399963378906	88	29	12	6	66	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
3	2/6/2026 3:53:21 PM		2.03612589836121	230.280411243439	1409.39294433594	27	NaN	34	98.3399963378906	87	26	12	7	63	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
4	2/6/2026 3:53:22 PM		1.50908505916595	170.67349255085	1409.61096191406	27	NaN	34	98.3399963378906	84	29	13	8	64	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
5	2/6/2026 3:53:23 PM		1.54957902431488	175.253257155418	1409.61096191406	27	NaN	34	98.3399963378906	84	29	13	8	64	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
6	2/6/2026 3:53:24 PM		NaN	NaN	∞	26	NaN	34	98.3399963378906	81	29	12	8	70	2	0	0	0	0	0	0	0	0	0	0	0	0	NaN
7	2/6/2026 3:53:25 PM		1.73370826244354	196.077780425549	1409.77099609375	26	NaN	34	98.3399963378906	88	28	12	9	71	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
8	2/6/2026 3:53:26 PM		1.93481338024139	218.822242319584	1409.80798339844	26	NaN	34	98.3399963378906	86	27	12	9	86	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
9	2/6/2026 3:53:27 PM		2.02038836479187	228.500550985336	1409.80798339844	26	NaN	34	98.3399963378906	86	27	12	9	86	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
10	2/6/2026 3:53:28 PM		2.01817011833191	228.249657154083	1410.21594238281	26	NaN	34	98.3399963378906	86	26	13	9	79	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN
